2026-01-05 11:21:50 | INFO     | gemini_service | 发起请求: model=gemini-2.5-flash, message_len=7
2026-01-05 11:21:54 | INFO     | gemini_service | 响应完成: input_tokens=4, output_tokens=54
2026-01-05 11:30:15 | INFO     | zhipu_service | 清空智谱对话历史
2026-01-05 11:30:18 | INFO     | zhipu_service | 清空智谱对话历史
2026-01-05 11:32:27 | INFO     | gemini_service | 发起请求: model=gemini-2.5-flash, message_len=6
2026-01-05 11:32:31 | INFO     | gemini_service | 响应完成: input_tokens=4, output_tokens=152
2026-01-05 12:38:04 | INFO     | zhipu_service | 智谱请求: model=glm-4.6v, len=2, web_search=True
2026-01-05 12:38:06 | INFO     | zhipu_service | 智谱响应: in=1, out=52
2026-01-05 12:42:56 | INFO     | zhipu_service | 智谱请求: model=glm-4.6v, len=6, web_search=True
2026-01-05 12:43:18 | INFO     | zhipu_service | 智谱响应: in=4, out=51
2026-01-05 17:23:53 | INFO     | zhipu_service | 智谱请求: model=glm-4.6v, len=7, web_search=True
2026-01-05 17:24:17 | INFO     | zhipu_service | 清空智谱对话历史
2026-01-05 17:24:18 | INFO     | zhipu_service | 智谱响应: in=4, out=67
2026-01-05 17:24:38 | INFO     | zhipu_service | 智谱请求: model=glm-4.6v, len=8, web_search=True
2026-01-05 17:25:00 | INFO     | zhipu_service | 智谱响应: in=5, out=44
2026-01-05 17:25:43 | INFO     | gemini_service | 发起请求: model=gemini-2.5-flash, message_len=7
2026-01-05 17:25:47 | INFO     | gemini_service | 响应完成: input_tokens=4, output_tokens=165
2026-01-05 17:34:01 | INFO     | zhipu_service | 智谱请求: model=glm-4.6v, len=6, web_search=True
2026-01-05 17:34:19 | INFO     | zhipu_service | 智谱响应: in=4, out=85
2026-01-05 17:40:04 | INFO     | zhipu_service | 智谱请求: model=glm-4.5-air, len=6, web_search=True
2026-01-05 17:40:15 | INFO     | zhipu_service | 智谱响应: in=4, out=59
2026-01-05 17:52:49 | INFO     | zhipu_service | 智谱请求: model=glm-4.6v, len=2, web_search=True
2026-01-05 17:52:51 | INFO     | zhipu_service | 智谱响应: in=1, out=69
2026-01-05 17:53:22 | INFO     | zhipu_service | 智谱模型: GLM-4.7 (付费 977万)
2026-01-05 17:53:23 | INFO     | zhipu_service | 智谱模型: GLM-4.5 Air (赠送 962万)
2026-01-05 17:53:24 | INFO     | zhipu_service | 智谱模型: GLM-4.6 (赠送 700万)
2026-01-05 17:53:25 | INFO     | zhipu_service | 智谱模型: GLM-4.6V (赠送 600万)
2026-01-05 17:53:26 | INFO     | zhipu_service | 智谱模型: GLM-4.7 (付费 977万)
2026-01-05 17:53:28 | INFO     | zhipu_service | 智谱请求: model=glm-4.7, len=2, web_search=True
2026-01-05 17:53:32 | INFO     | zhipu_service | 智谱响应: in=1, out=37
2026-01-05 17:53:34 | INFO     | zhipu_service | 智谱模型: GLM-4.5 Air (赠送 962万)
2026-01-05 17:54:59 | INFO     | zhipu_service | 智谱模型: GLM-4.6 (赠送 700万)
2026-01-05 17:55:01 | INFO     | zhipu_service | 智谱模型: GLM-4.6V (赠送 600万)
2026-01-05 17:55:02 | INFO     | zhipu_service | 智谱模型: GLM-4.7 (付费 977万)
2026-01-05 17:55:03 | INFO     | zhipu_service | 智谱模型: GLM-4.5 Air (赠送 962万)
2026-01-05 17:55:13 | INFO     | zhipu_service | 智谱请求: model=glm-4.5-air, len=15, web_search=True
2026-01-05 17:55:29 | INFO     | zhipu_service | 智谱响应: in=10, out=582
2026-01-05 18:00:21 | INFO     | zhipu_service | 智谱请求: model=glm-4.5-air, len=13, web_search=True
2026-01-05 18:00:37 | INFO     | zhipu_service | 智谱响应: in=9, out=700
2026-01-05 18:06:05 | INFO     | zhipu_service | 智谱请求: model=glm-4.5-air, len=20, web_search=True
2026-01-05 18:06:15 | INFO     | zhipu_service | 智谱响应: in=14, out=702
2026-01-05 18:08:51 | INFO     | gemini_service | 发起请求: model=gemini-2.5-flash, message_len=20
2026-01-05 18:08:56 | INFO     | gemini_service | 响应完成: input_tokens=14, output_tokens=63
2026-01-05 18:09:34 | INFO     | zhipu_service | 智谱模型: GLM-4.7 (付费 977万)
2026-01-05 18:09:36 | INFO     | zhipu_service | 智谱模型: GLM-4.5 Air (赠送 962万)
2026-01-05 18:09:39 | INFO     | zhipu_service | 智谱请求: model=glm-4.5-air, len=20, web_search=True
2026-01-05 18:10:12 | INFO     | zhipu_service | 智谱响应: in=14, out=909
2026-01-05 18:13:45 | INFO     | zhipu_service | 智谱请求: model=glm-4.5-air, len=18, web_search=True
2026-01-05 18:13:49 | INFO     | zhipu_service | 智谱响应: in=12, out=158
2026-01-05 18:37:59 | INFO     | zhipu_service | 智谱请求: model=glm-4.5-air, len=16, web_search=True
2026-01-05 18:38:11 | INFO     | zhipu_service | 智谱响应: in=11, out=429
2026-01-05 18:40:46 | INFO     | zhipu_service | 智谱请求: model=glm-4.5-air, len=23, web_search=True
2026-01-05 18:41:09 | INFO     | zhipu_service | 智谱响应: in=16, out=737
2026-01-05 18:43:16 | INFO     | zhipu_service | 智谱请求: model=glm-4.5-air, len=26, web_search=True
2026-01-05 18:43:25 | INFO     | zhipu_service | 智谱响应: in=18, out=372
